,threshold
ARID5B(+),0.21104435763035678
ATF1(+),0.1104400670668158
ATF3(+),0.8707767105965196
ATF3(-),0.13096751928959227
ATF4(+),0.17253049007557456
ATF4(-),0.024557523986640285
BACH2(+),0.22611895692146497
BACH2(-),0.043786448355255726
BHLHE40(+),0.16766466423695717
CEBPB(+),0.20511333284009836
CEBPB(-),0.022897447779342082
CEBPD(+),0.22109615517312675
CEBPD(-),0.05699813334643604
CTCF(-),0.06795996723762315
EHF(-),0.03425365948334962
ELF1(-),0.04448895583167648
ELF3(-),0.04714326737876482
ELK3(+),0.18414880762115107
ETV6(-),0.05571261789081404
FOS(+),0.36538745916771936
FOSB(-),0.06634813427758283
FOSL1(+),0.3368381695145199
FOXO1(+),0.21990596973755192
FOXP1(-),0.048538519112313896
GRHL2(-),0.0553175571798803
HIF1A(+),0.24305613001461251
HIF1A(-),0.08471679261266377
HLTF(+),0.04223531021002723
HLTF(-),0.07430581178468089
HMGA2(+),0.7532736350158362
HMGA2(-),0.06953172719433484
ILF2(-),0.05260915506162802
IRF6(+),0.1921412494871408
IRF6(-),0.05247187931054728
JUN(+),0.1613034599386542
JUN(-),0.08339124782140729
JUND(+),0.21936006080403175
JUND(-),0.08096103354593315
KLF12(-),0.06181202749651088
KLF3(-),0.07061263992361554
KLF4(-),0.08482145065470018
MXD1(+),0.29803447793526
MXD1(-),0.1162963615316862
MYC(+),0.2512859492314218
MYC(-),0.022497921460320425
NFE2L2(-),0.019499087316291495
NFIC(-),0.025977508125174586
NFKB1(+),0.2581555695226909
NFKB1(-),0.06468995858243015
NR2F6(-),0.06937728130858767
NR3C1(-),0.05345535425379635
PRDM1(+),0.2526589696263142
PRDM1(-),0.07207211513497529
REL(+),0.3191458806495808
RUNX1(+),0.6950023391155205
SMAD1(+),0.26853965612163144
SMAD2(-),0.026083845045497055
SOX4(+),0.5910256339305922
SOX4(-),0.0545860031270297
SOX9(-),0.030656564603283094
STAT1(+),0.14692047404051592
STAT1(-),0.05993111522832245
TCF12(-),0.05473096570922619
TCF7L2(+),0.6067020952759612
TCF7L2(-),0.0227787393774078
TEAD1(-),0.032208987915679915
TFAP2A(+),0.20482559183596677
TFAP2A(-),0.029670323926931867
THRB(+),0.2310346339242722
THRB(-),0.0637929394508436
YBX1(-),0.05591603284055195
YY1(-),0.026836539018250068
